module,subsystem,language,tech_stack,bug_type
gateway,queue,Python,Docker,network
search,security,Java,JWT,security
analytics,security,Python,JWT,integration
inventory,backend,JavaScript,PostgreSQL,validation
auth,backend,JavaScript,React,network
gateway,queue,TypeScript,Docker,network
gateway,api,JavaScript,PostgreSQL,integration
gateway,database,TypeScript,SpringBoot,validation
database,web,JavaScript,React,validation
reporting,api,JavaScript,SpringBoot,network
inventory,web,Python,React,network
auth,database,TypeScript,JWT,security
gateway,security,TypeScript,SpringBoot,validation
reporting,database,Go,React,network
analytics,router,JavaScript,JWT,security
gateway,backend,Java,JWT,security
gateway,api,Go,Kafka,network
auth,queue,Go,React,security
auth,router,Java,Kafka,validation
auth,api,JavaScript,JWT,security
profile,security,TypeScript,Docker,integration
payment,security,TypeScript,SpringBoot,integration
reporting,security,Python,React,network
database,web,JavaScript,SpringBoot,integration
payment,api,JavaScript,SpringBoot,integration
reporting,router,Python,React,security
inventory,backend,JavaScript,JWT,integration
search,database,Go,PostgreSQL,performance
database,security,Python,PostgreSQL,performance
auth,auth_sub,TypeScript,SpringBoot,security
analytics,queue,Python,Kafka,concurrency
auth,router,Java,Docker,validation
gateway,security,Go,Docker,network
auth,web,JavaScript,PostgreSQL,network
auth,database,Java,JWT,security
analytics,web,Java,PostgreSQL,validation
gateway,web,TypeScript,Docker,network
auth,api,Python,Kafka,network
auth,router,Go,Kafka,network
reporting,router,Python,Kafka,performance
inventory,backend,TypeScript,PostgreSQL,integration
inventory,worker,JavaScript,JWT,validation
gateway,backend,Java,Docker,network
analytics,web,Python,React,network
database,ui,Python,PostgreSQL,performance
database,auth_sub,Java,Kafka,validation
search,web,Java,PostgreSQL,validation
analytics,database,Python,Kafka,concurrency
analytics,ui,JavaScript,Kafka,concurrency
gateway,database,Java,Docker,network
database,router,Java,PostgreSQL,performance
auth,web,JavaScript,JWT,security
reporting,api,Go,React,concurrency
gateway,router,Go,Kafka,performance
database,web,JavaScript,PostgreSQL,performance
payment,backend,JavaScript,SpringBoot,integration
reporting,backend,JavaScript,Kafka,performance
database,web,TypeScript,Docker,network
analytics,api,JavaScript,Kafka,concurrency
search,router,JavaScript,Docker,performance
auth,queue,Python,JWT,security
auth,worker,TypeScript,JWT,security
payment,queue,Java,SpringBoot,security
inventory,api,TypeScript,Docker,concurrency
auth,database,TypeScript,PostgreSQL,performance
gateway,database,TypeScript,Docker,network
gateway,auth_sub,Java,Docker,network
profile,ui,Java,Kafka,concurrency
auth,security,Java,JWT,security
payment,database,TypeScript,SpringBoot,integration
profile,queue,Java,React,security
auth,backend,Java,Docker,network
notification,security,TypeScript,React,validation
search,auth_sub,TypeScript,React,network
payment,web,JavaScript,SpringBoot,integration
analytics,worker,TypeScript,React,security
reporting,router,Java,Docker,integration
auth,worker,Java,JWT,security
gateway,ui,Java,Docker,network
payment,router,Java,Kafka,performance
auth,backend,Go,JWT,security
auth,web,Python,JWT,security
analytics,ui,TypeScript,Kafka,concurrency
profile,ui,Java,Docker,integration
payment,api,Go,SpringBoot,integration
profile,auth_sub,JavaScript,Docker,concurrency
notification,backend,JavaScript,PostgreSQL,validation
search,worker,JavaScript,JWT,performance
payment,web,Python,SpringBoot,integration
search,ui,Go,Docker,concurrency
inventory,security,TypeScript,SpringBoot,concurrency
inventory,worker,Go,Kafka,integration
auth,backend,Python,Kafka,concurrency
search,router,Go,PostgreSQL,network
analytics,worker,JavaScript,React,validation
payment,backend,TypeScript,SpringBoot,integration
gateway,web,Go,Docker,validation
database,auth_sub,TypeScript,Docker,network
inventory,worker,TypeScript,React,concurrency
gateway,backend,Python,Docker,validation
reporting,database,Java,PostgreSQL,network
inventory,auth_sub,JavaScript,Kafka,performance
reporting,queue,TypeScript,PostgreSQL,concurrency
analytics,ui,Python,JWT,performance
analytics,queue,TypeScript,React,validation
payment,api,Python,JWT,integration
gateway,web,Python,Kafka,validation
analytics,worker,Python,Kafka,concurrency
notification,database,Java,React,integration
gateway,router,Python,Docker,network
payment,worker,TypeScript,SpringBoot,integration
payment,backend,Go,SpringBoot,integration
database,ui,JavaScript,PostgreSQL,performance
payment,worker,Java,PostgreSQL,concurrency
gateway,worker,TypeScript,Docker,validation
payment,security,Go,SpringBoot,integration
gateway,queue,Go,Docker,network
gateway,api,JavaScript,Docker,network
gateway,queue,Java,Docker,network
analytics,backend,JavaScript,SpringBoot,validation
inventory,web,JavaScript,PostgreSQL,integration
notification,worker,JavaScript,JWT,concurrency
database,backend,Java,Docker,security
database,api,Java,Docker,performance
profile,database,TypeScript,PostgreSQL,performance
database,web,Python,PostgreSQL,performance
analytics,database,TypeScript,SpringBoot,concurrency
gateway,web,Go,Docker,network
database,api,JavaScript,PostgreSQL,performance
profile,router,TypeScript,SpringBoot,performance
notification,router,Go,Kafka,validation
database,backend,TypeScript,React,security
notification,queue,JavaScript,JWT,performance
analytics,ui,Go,Kafka,concurrency
payment,database,Python,SpringBoot,integration
payment,ui,JavaScript,SpringBoot,integration
search,auth_sub,TypeScript,JWT,network
database,security,JavaScript,Docker,security
database,backend,Java,SpringBoot,validation
inventory,security,Java,PostgreSQL,integration
analytics,web,TypeScript,Kafka,concurrency
reporting,api,Go,PostgreSQL,validation
gateway,router,Go,Docker,network
payment,auth_sub,Python,Kafka,validation
auth,api,Go,JWT,security
inventory,backend,Python,React,security
payment,queue,Java,React,performance
payment,security,JavaScript,PostgreSQL,performance
profile,worker,Python,SpringBoot,security
inventory,security,TypeScript,Kafka,concurrency
analytics,ui,Python,Kafka,validation
profile,web,Python,SpringBoot,security
database,ui,TypeScript,PostgreSQL,performance
payment,security,TypeScript,JWT,security
payment,backend,Go,React,concurrency
gateway,database,Java,SpringBoot,security
search,ui,Python,JWT,performance
gateway,web,Java,Kafka,integration
profile,router,Python,SpringBoot,security
auth,security,TypeScript,JWT,security
auth,security,Java,Kafka,security
payment,worker,JavaScript,SpringBoot,integration
payment,backend,JavaScript,SpringBoot,security
gateway,worker,Java,Docker,network
analytics,database,Java,Kafka,concurrency
auth,ui,Go,Docker,performance
database,api,TypeScript,SpringBoot,performance
gateway,web,TypeScript,Kafka,performance
reporting,router,Java,PostgreSQL,validation
auth,auth_sub,Java,JWT,security
reporting,worker,Java,React,integration
inventory,ui,TypeScript,Docker,security
search,backend,TypeScript,JWT,integration
payment,queue,TypeScript,SpringBoot,integration
reporting,queue,JavaScript,PostgreSQL,performance
notification,auth_sub,Go,SpringBoot,security
notification,web,JavaScript,PostgreSQL,security
search,security,Go,SpringBoot,network
payment,router,TypeScript,SpringBoot,integration
notification,worker,TypeScript,JWT,performance
gateway,worker,TypeScript,Docker,network
auth,worker,Python,JWT,security
auth,security,Go,JWT,security
payment,backend,TypeScript,JWT,security
auth,worker,Python,React,integration
auth,web,TypeScript,JWT,security
database,worker,Python,SpringBoot,integration
gateway,queue,JavaScript,Docker,network
database,auth_sub,Java,React,security
auth,auth_sub,Go,JWT,security
profile,ui,Java,SpringBoot,network
database,database,Go,PostgreSQL,performance
payment,database,Java,SpringBoot,integration
profile,database,Java,JWT,network
profile,auth_sub,JavaScript,React,integration
notification,database,Java,PostgreSQL,performance
search,ui,Java,Docker,network
payment,security,JavaScript,SpringBoot,integration
auth,router,Python,JWT,security
gateway,database,Python,Docker,concurrency
payment,ui,Go,SpringBoot,integration
search,ui,Java,Docker,security
notification,api,Python,JWT,performance
payment,ui,Java,Docker,security
notification,security,Python,PostgreSQL,validation
profile,queue,TypeScript,SpringBoot,concurrency
auth,web,Java,JWT,security
payment,backend,Go,PostgreSQL,concurrency
notification,queue,JavaScript,JWT,security
gateway,worker,JavaScript,SpringBoot,performance
database,api,Java,PostgreSQL,performance
database,database,Python,PostgreSQL,performance
reporting,worker,Go,Docker,security
gateway,backend,JavaScript,JWT,validation
profile,queue,TypeScript,Docker,integration
notification,api,Java,Kafka,concurrency
notification,ui,TypeScript,Kafka,security
database,backend,JavaScript,PostgreSQL,performance
payment,web,Python,PostgreSQL,performance
auth,router,TypeScript,JWT,security
analytics,api,Python,Kafka,concurrency
gateway,api,Java,Docker,network
notification,auth_sub,Go,SpringBoot,network
inventory,security,TypeScript,JWT,performance
gateway,auth_sub,JavaScript,React,integration
database,api,Python,PostgreSQL,validation
auth,router,JavaScript,JWT,security
payment,router,JavaScript,SpringBoot,integration
database,security,Go,PostgreSQL,performance
analytics,database,Go,React,performance
payment,worker,Go,SpringBoot,integration
inventory,database,Python,Kafka,validation
reporting,queue,Python,Docker,performance
gateway,worker,Go,Kafka,security
analytics,worker,Java,Kafka,concurrency
auth,backend,Python,PostgreSQL,network
profile,security,TypeScript,PostgreSQL,integration
gateway,worker,Go,Docker,network
analytics,router,Python,Kafka,concurrency
database,backend,Java,PostgreSQL,validation
notification,backend,Python,React,integration
analytics,backend,JavaScript,Kafka,concurrency
analytics,database,TypeScript,Kafka,concurrency
payment,web,TypeScript,SpringBoot,integration
payment,worker,Python,SpringBoot,integration
auth,security,Java,PostgreSQL,performance
notification,queue,Java,Docker,security
gateway,worker,JavaScript,Docker,integration
inventory,queue,JavaScript,Kafka,security
payment,api,TypeScript,SpringBoot,integration
profile,api,Java,PostgreSQL,integration
analytics,api,Go,Kafka,concurrency
payment,queue,Java,SpringBoot,security
notification,ui,Java,JWT,integration
database,database,TypeScript,Docker,performance
auth,api,JavaScript,PostgreSQL,performance
search,queue,JavaScript,Docker,integration
gateway,worker,Python,Docker,network
database,ui,Go,PostgreSQL,performance
gateway,database,Python,React,integration
notification,web,Python,PostgreSQL,performance
reporting,router,TypeScript,SpringBoot,security
payment,queue,Python,SpringBoot,integration
profile,api,Java,JWT,integration
notification,router,Go,SpringBoot,concurrency
analytics,database,Go,Kafka,concurrency
inventory,ui,JavaScript,JWT,performance
auth,backend,TypeScript,JWT,security
auth,api,JavaScript,PostgreSQL,integration
payment,router,Python,SpringBoot,integration
search,queue,Java,Docker,network
notification,queue,Python,PostgreSQL,network
auth,queue,JavaScript,JWT,security
payment,worker,TypeScript,SpringBoot,security
auth,auth_sub,TypeScript,JWT,security
auth,database,Go,PostgreSQL,network
analytics,auth_sub,Python,Kafka,concurrency
profile,security,Python,Kafka,network
database,queue,Go,PostgreSQL,performance
profile,ui,Go,React,security
reporting,auth_sub,TypeScript,Docker,network
payment,worker,Java,SpringBoot,integration
gateway,web,Java,Docker,network
database,router,JavaScript,PostgreSQL,performance
database,security,Python,Kafka,integration
reporting,backend,TypeScript,SpringBoot,concurrency
auth,queue,Java,React,concurrency
analytics,security,TypeScript,Kafka,concurrency
gateway,ui,TypeScript,JWT,validation
gateway,auth_sub,Java,SpringBoot,concurrency
auth,ui,Python,SpringBoot,network
auth,web,Go,JWT,security
analytics,ui,Java,Docker,security
auth,database,Go,JWT,security
gateway,auth_sub,TypeScript,Docker,network
gateway,router,JavaScript,SpringBoot,security
analytics,backend,Python,Kafka,concurrency
profile,security,Python,JWT,validation
reporting,router,Java,JWT,security
payment,auth_sub,JavaScript,React,performance
gateway,auth_sub,JavaScript,Docker,network
auth,worker,JavaScript,SpringBoot,validation
auth,web,Go,Kafka,performance
payment,auth_sub,Java,PostgreSQL,security
analytics,database,JavaScript,Kafka,concurrency
auth,security,JavaScript,JWT,security
database,security,Java,Docker,performance
gateway,router,TypeScript,Docker,network
payment,queue,Java,React,integration
database,backend,Go,SpringBoot,validation
auth,backend,JavaScript,JWT,security
auth,api,TypeScript,Docker,validation
auth,ui,TypeScript,Kafka,security
analytics,worker,Python,JWT,concurrency
reporting,api,JavaScript,Kafka,validation
payment,web,Go,JWT,validation
search,queue,JavaScript,React,integration
auth,queue,Go,JWT,security
gateway,backend,TypeScript,Docker,network
reporting,auth_sub,Python,PostgreSQL,validation
profile,queue,TypeScript,PostgreSQL,concurrency
profile,ui,JavaScript,Kafka,concurrency
profile,backend,Java,Kafka,network
auth,router,Go,JWT,security
database,router,Python,PostgreSQL,performance
gateway,auth_sub,TypeScript,PostgreSQL,concurrency
auth,router,Java,JWT,security
database,ui,Java,PostgreSQL,performance
notification,worker,Python,Kafka,network
auth,web,Go,Docker,integration
gateway,web,Python,SpringBoot,performance
search,auth_sub,Java,Docker,performance
payment,security,TypeScript,PostgreSQL,performance
analytics,api,TypeScript,Kafka,concurrency
gateway,web,Python,Docker,network
auth,security,TypeScript,React,network
inventory,security,TypeScript,Docker,validation
auth,api,TypeScript,JWT,security
auth,queue,Java,JWT,security
payment,database,TypeScript,Kafka,integration
database,api,TypeScript,React,security
inventory,api,Python,Docker,integration
gateway,router,JavaScript,SpringBoot,integration
inventory,ui,Python,Kafka,network
auth,auth_sub,JavaScript,JWT,security
payment,auth_sub,JavaScript,SpringBoot,integration
database,database,JavaScript,PostgreSQL,performance
search,worker,Java,Kafka,concurrency
profile,api,JavaScript,React,validation
auth,ui,Python,JWT,security
analytics,web,Go,Kafka,concurrency
database,queue,Go,Docker,concurrency
notification,auth_sub,Java,React,integration
analytics,api,Java,Kafka,concurrency
analytics,worker,TypeScript,Kafka,concurrency
profile,queue,Python,React,network
database,worker,Python,PostgreSQL,performance
profile,database,Go,Docker,concurrency
database,api,TypeScript,PostgreSQL,performance
inventory,security,TypeScript,Docker,network
analytics,worker,JavaScript,Kafka,concurrency
database,security,Python,PostgreSQL,concurrency
reporting,auth_sub,Go,JWT,integration
database,worker,Java,PostgreSQL,performance
analytics,api,Java,SpringBoot,network
payment,web,Java,SpringBoot,integration
database,router,Python,PostgreSQL,performance
notification,database,JavaScript,PostgreSQL,security
inventory,api,Python,React,network
payment,security,Python,SpringBoot,integration
analytics,queue,TypeScript,Kafka,concurrency
inventory,web,Python,Docker,security
analytics,security,Java,Kafka,concurrency
notification,web,JavaScript,PostgreSQL,security
gateway,api,Python,PostgreSQL,validation
auth,backend,Python,JWT,security
database,api,Go,PostgreSQL,performance
notification,worker,Go,Docker,integration
inventory,backend,JavaScript,Kafka,concurrency
inventory,ui,JavaScript,Kafka,integration
payment,auth_sub,TypeScript,SpringBoot,integration
analytics,web,JavaScript,Kafka,concurrency
gateway,auth_sub,Python,Docker,network
analytics,worker,TypeScript,React,integration
analytics,ui,JavaScript,React,validation
auth,backend,Java,JWT,security
gateway,auth_sub,JavaScript,React,validation
inventory,auth_sub,Go,JWT,performance
gateway,api,Go,Docker,network
gateway,router,Java,Docker,network
analytics,security,Go,Kafka,concurrency
notification,ui,Go,SpringBoot,concurrency
payment,api,Python,Kafka,network
gateway,auth_sub,Java,JWT,validation
database,security,Java,PostgreSQL,performance
gateway,web,Go,Kafka,network
inventory,web,Python,JWT,integration
analytics,web,Python,PostgreSQL,security
gateway,ui,JavaScript,Docker,network
analytics,auth_sub,TypeScript,Kafka,concurrency
search,api,Python,React,validation
search,ui,Python,React,integration
analytics,router,JavaScript,Kafka,concurrency
database,auth_sub,Python,PostgreSQL,performance
database,worker,Go,React,integration
analytics,auth_sub,Java,Kafka,concurrency
profile,backend,JavaScript,Kafka,security
analytics,auth_sub,Java,JWT,security
database,web,Java,PostgreSQL,performance
gateway,web,TypeScript,Docker,performance
gateway,worker,JavaScript,Docker,network
inventory,backend,TypeScript,PostgreSQL,security
analytics,router,TypeScript,Kafka,concurrency
auth,backend,JavaScript,PostgreSQL,performance
inventory,ui,JavaScript,Docker,validation
gateway,database,Python,Docker,network
database,security,TypeScript,PostgreSQL,performance
database,router,Java,JWT,network
auth,web,JavaScript,JWT,performance
gateway,ui,Python,Docker,validation
gateway,backend,Go,Docker,network
database,backend,Python,PostgreSQL,performance
reporting,auth_sub,TypeScript,PostgreSQL,validation
payment,queue,JavaScript,SpringBoot,integration
search,queue,JavaScript,React,network
notification,auth_sub,JavaScript,React,network
database,auth_sub,JavaScript,PostgreSQL,performance
search,worker,TypeScript,JWT,network
search,worker,Java,JWT,concurrency
payment,auth_sub,Go,SpringBoot,integration
payment,router,TypeScript,Kafka,integration
gateway,api,Go,JWT,performance
search,auth_sub,JavaScript,Docker,security
search,worker,Go,PostgreSQL,network
database,database,Java,PostgreSQL,performance
notification,worker,Go,SpringBoot,integration
analytics,ui,Java,Kafka,concurrency
analytics,queue,JavaScript,Kafka,concurrency
analytics,router,JavaScript,Kafka,concurrency
auth,queue,TypeScript,JWT,security
auth,auth_sub,TypeScript,SpringBoot,performance
database,api,Java,Docker,security
payment,database,Go,SpringBoot,integration
gateway,queue,Java,React,integration
analytics,worker,Go,Kafka,concurrency
reporting,backend,Go,SpringBoot,validation
profile,router,JavaScript,React,security
database,api,Python,PostgreSQL,performance
database,web,TypeScript,SpringBoot,performance
analytics,api,Go,Kafka,network
gateway,ui,Go,Docker,network
analytics,router,Go,Kafka,concurrency
profile,queue,Java,Docker,integration
payment,backend,Java,React,validation
payment,auth_sub,Python,JWT,validation
notification,web,JavaScript,JWT,validation
analytics,router,Java,PostgreSQL,network
analytics,queue,Go,Kafka,concurrency
auth,ui,Java,JWT,security
database,api,Java,PostgreSQL,performance
database,worker,TypeScript,PostgreSQL,performance
payment,security,Go,JWT,security
database,auth_sub,Go,PostgreSQL,performance
gateway,router,JavaScript,JWT,validation
search,queue,Python,PostgreSQL,network
payment,auth_sub,Java,React,security
search,backend,Go,Kafka,performance
search,auth_sub,Python,SpringBoot,integration
database,worker,JavaScript,PostgreSQL,performance
analytics,ui,Python,Kafka,concurrency
analytics,security,TypeScript,PostgreSQL,network
profile,queue,JavaScript,PostgreSQL,validation
database,queue,Python,Kafka,security
auth,api,TypeScript,Kafka,concurrency
gateway,web,JavaScript,Docker,network
auth,ui,TypeScript,JWT,security
inventory,web,Go,JWT,concurrency
analytics,router,Java,Kafka,concurrency
profile,ui,Python,SpringBoot,validation
notification,queue,Go,Docker,network
auth,security,TypeScript,Kafka,security
payment,auth_sub,Java,SpringBoot,integration
analytics,auth_sub,Go,Kafka,concurrency
analytics,api,JavaScript,JWT,security
reporting,database,Python,Docker,performance
payment,ui,Java,React,security
notification,auth_sub,TypeScript,PostgreSQL,network
gateway,auth_sub,Go,Docker,network
auth,queue,Java,SpringBoot,performance
reporting,api,Python,React,concurrency
auth,web,Python,SpringBoot,concurrency
profile,database,JavaScript,JWT,validation
analytics,web,Python,Kafka,concurrency
auth,security,TypeScript,React,security
database,backend,Java,PostgreSQL,performance
database,database,Go,React,concurrency
analytics,auth_sub,Go,Kafka,integration
payment,ui,Java,SpringBoot,security
profile,auth_sub,JavaScript,SpringBoot,integration
inventory,queue,Go,React,network
database,web,TypeScript,PostgreSQL,performance
database,web,JavaScript,SpringBoot,validation
payment,database,Java,PostgreSQL,concurrency
payment,worker,Python,React,network
analytics,backend,Go,Kafka,concurrency
reporting,web,Go,PostgreSQL,integration
database,queue,Python,PostgreSQL,performance
profile,ui,JavaScript,JWT,security
auth,web,TypeScript,SpringBoot,integration
payment,security,JavaScript,React,validation
auth,database,JavaScript,JWT,security
