module,subsystem,language,tech_stack,bug_type,severity
payment,api,Go,NodeJS,logic,high
inventory,api,Java,JWT,integration,high
gateway,api,Java,SpringBoot,integration,medium
analytics,security,JavaScript,Redis,validation,medium
database,database,Python,PostgreSQL,performance,high
notification,frontend,Go,SpringBoot,integration,critical
gateway,backend,Java,Kafka,concurrency,critical
auth,security,Java,JWT,security,critical
gateway,backend,Go,Kafka,concurrency,critical
gateway,frontend,TypeScript,Docker,integration,critical
auth,database,Java,JWT,logic,high
analytics,api,Python,React,logic,low
database,database,Java,Docker,memory,low
notification,security,Go,PostgreSQL,memory,medium
analytics,database,TypeScript,Docker,validation,critical
reporting,database,Python,PostgreSQL,concurrency,high
database,database,Java,PostgreSQL,performance,high
gateway,backend,Java,Kafka,concurrency,critical
payment,database,Go,NodeJS,concurrency,medium
notification,backend,Java,Kafka,concurrency,high
reporting,database,Java,JWT,integration,high
notification,backend,Java,Kafka,concurrency,critical
search,frontend,JavaScript,React,validation,low
profile,frontend,JavaScript,React,validation,low
search,database,JavaScript,JWT,security,medium
analytics,database,Java,Kafka,logic,medium
reporting,database,Java,NodeJS,logic,high
auth,security,Java,JWT,security,critical
search,frontend,Python,Docker,validation,medium
database,backend,TypeScript,Kafka,validation,critical
search,backend,Go,Docker,security,critical
analytics,backend,Go,Kafka,concurrency,critical
database,database,Python,PostgreSQL,performance,high
database,database,Java,PostgreSQL,performance,high
payment,security,Python,SpringBoot,validation,medium
search,frontend,TypeScript,React,validation,low
reporting,database,TypeScript,Redis,validation,medium
database,backend,JavaScript,React,performance,medium
auth,frontend,Python,NodeJS,logic,high
payment,backend,JavaScript,NodeJS,integration,low
reporting,frontend,TypeScript,React,validation,low
gateway,backend,Go,Kafka,concurrency,critical
search,api,Python,NodeJS,validation,low
search,frontend,JavaScript,React,validation,low
payment,api,Java,SpringBoot,integration,critical
reporting,frontend,TypeScript,React,validation,low
notification,backend,Java,Kafka,concurrency,critical
database,backend,TypeScript,SpringBoot,performance,critical
analytics,backend,Go,Kafka,concurrency,critical
payment,api,Java,Redis,security,low
database,database,Java,PostgreSQL,performance,high
gateway,backend,Java,Kafka,concurrency,critical
analytics,security,Java,Kafka,concurrency,high
notification,backend,Java,Kafka,concurrency,high
analytics,backend,Python,JWT,concurrency,medium
inventory,frontend,TypeScript,PostgreSQL,memory,medium
notification,backend,Java,Kafka,concurrency,critical
notification,backend,Go,Kafka,concurrency,high
analytics,backend,Go,NodeJS,memory,critical
auth,api,Go,React,performance,high
notification,backend,Java,NodeJS,logic,medium
payment,api,Java,SpringBoot,integration,critical
database,frontend,JavaScript,PostgreSQL,memory,low
profile,frontend,Python,Kafka,security,critical
search,api,TypeScript,Docker,validation,low
gateway,backend,Java,Kafka,concurrency,high
notification,backend,Go,Kafka,concurrency,high
notification,backend,Go,Kafka,concurrency,critical
inventory,backend,Go,PostgreSQL,memory,low
inventory,database,Java,Docker,security,high
database,database,Python,PostgreSQL,performance,high
payment,backend,Python,Kafka,security,critical
auth,security,Python,JWT,performance,medium
search,frontend,TypeScript,React,validation,low
search,database,Go,JWT,performance,low
database,database,Python,PostgreSQL,performance,high
analytics,security,Java,NodeJS,concurrency,critical
inventory,database,Python,Redis,performance,critical
auth,security,Java,JWT,security,critical
notification,security,Python,JWT,integration,critical
database,database,Java,PostgreSQL,performance,high
gateway,api,Python,Kafka,validation,critical
analytics,frontend,Java,NodeJS,performance,low
auth,database,TypeScript,Kafka,logic,high
profile,database,TypeScript,Redis,integration,critical
notification,database,Python,Docker,performance,low
profile,frontend,Go,Docker,memory,high
search,security,Python,JWT,validation,critical
gateway,backend,Java,Kafka,concurrency,critical
analytics,api,Java,Docker,logic,medium
inventory,database,JavaScript,SpringBoot,logic,low
auth,frontend,Java,PostgreSQL,validation,medium
profile,backend,Go,Redis,validation,critical
profile,api,JavaScript,Kafka,performance,high
reporting,security,Go,Kafka,security,low
reporting,backend,Go,Docker,memory,critical
search,security,JavaScript,Redis,performance,low
gateway,backend,JavaScript,NodeJS,performance,low
auth,backend,Python,Redis,security,medium
notification,api,JavaScript,JWT,memory,high
inventory,api,JavaScript,JWT,logic,low
notification,security,Go,NodeJS,logic,medium
analytics,backend,Go,Kafka,concurrency,critical
gateway,backend,Java,Kafka,concurrency,high
profile,frontend,TypeScript,React,validation,low
database,database,Java,PostgreSQL,performance,high
payment,backend,Python,React,memory,critical
reporting,security,Go,Docker,concurrency,critical
profile,frontend,JavaScript,Kafka,logic,high
payment,api,Java,SpringBoot,integration,critical
gateway,backend,TypeScript,SpringBoot,logic,high
reporting,frontend,Python,Kafka,memory,critical
gateway,api,TypeScript,SpringBoot,performance,critical
payment,api,TypeScript,SpringBoot,integration,critical
payment,api,Java,SpringBoot,integration,critical
database,database,Python,PostgreSQL,performance,high
search,frontend,Go,Kafka,memory,low
search,frontend,JavaScript,React,validation,low
reporting,frontend,TypeScript,React,validation,low
analytics,security,TypeScript,NodeJS,logic,low
notification,frontend,Go,Redis,memory,critical
payment,api,Go,Docker,security,critical
reporting,frontend,JavaScript,SpringBoot,performance,low
database,database,Java,PostgreSQL,performance,high
profile,security,Python,Kafka,memory,critical
analytics,backend,Java,Redis,logic,critical
reporting,database,Java,NodeJS,concurrency,medium
auth,security,Java,JWT,security,critical
database,frontend,Java,React,memory,medium
search,backend,Python,Docker,logic,low
database,database,Java,PostgreSQL,performance,high
search,backend,TypeScript,Kafka,security,low
auth,security,Java,JWT,security,critical
auth,backend,Go,Docker,memory,medium
auth,backend,TypeScript,JWT,concurrency,low
search,api,Go,SpringBoot,security,critical
search,frontend,TypeScript,React,validation,low
search,backend,JavaScript,Docker,validation,low
profile,api,Go,NodeJS,integration,medium
auth,security,Java,JWT,security,critical
database,database,Java,PostgreSQL,performance,high
profile,api,TypeScript,PostgreSQL,memory,medium
reporting,api,JavaScript,React,validation,low
database,database,Java,PostgreSQL,performance,high
profile,api,Python,Docker,concurrency,low
payment,security,Go,PostgreSQL,concurrency,high
database,database,Python,PostgreSQL,performance,high
analytics,backend,Python,React,concurrency,medium
database,database,Java,PostgreSQL,performance,high
database,database,Java,PostgreSQL,performance,high
inventory,frontend,Java,JWT,logic,high
reporting,backend,TypeScript,React,validation,high
profile,frontend,TypeScript,React,validation,medium
profile,frontend,TypeScript,React,validation,low
gateway,api,JavaScript,JWT,validation,critical
auth,security,Java,JWT,security,critical
analytics,security,JavaScript,SpringBoot,logic,low
notification,database,Java,SpringBoot,performance,high
inventory,api,Java,JWT,logic,high
payment,api,TypeScript,SpringBoot,integration,critical
auth,frontend,JavaScript,SpringBoot,memory,high
notification,security,Java,Docker,concurrency,low
reporting,backend,JavaScript,Redis,performance,critical
notification,frontend,Python,SpringBoot,concurrency,low
database,database,Python,Kafka,validation,high
payment,api,Java,Docker,concurrency,high
search,security,TypeScript,React,logic,critical
payment,frontend,Go,SpringBoot,security,medium
reporting,security,Java,PostgreSQL,security,critical
inventory,security,Go,React,integration,medium
payment,api,TypeScript,SpringBoot,integration,critical
reporting,api,Java,SpringBoot,logic,low
database,database,Java,PostgreSQL,performance,high
database,database,Java,PostgreSQL,performance,high
profile,database,JavaScript,NodeJS,concurrency,critical
profile,frontend,TypeScript,React,validation,low
profile,frontend,JavaScript,React,validation,low
gateway,backend,Go,React,performance,medium
inventory,backend,Go,PostgreSQL,security,medium
inventory,security,Python,Docker,security,critical
analytics,frontend,JavaScript,Docker,performance,critical
analytics,backend,Go,Kafka,concurrency,high
notification,database,TypeScript,Docker,security,high
profile,database,TypeScript,React,memory,low
auth,security,Java,JWT,security,critical
database,database,Python,PostgreSQL,performance,high
payment,api,Java,SpringBoot,integration,critical
payment,api,Java,SpringBoot,integration,critical
database,database,Java,PostgreSQL,performance,high
notification,backend,Go,Kafka,concurrency,high
analytics,security,JavaScript,NodeJS,memory,critical
payment,api,Java,SpringBoot,integration,critical
profile,backend,Go,JWT,concurrency,low
profile,database,TypeScript,Docker,logic,medium
profile,frontend,JavaScript,JWT,validation,critical
search,security,Go,Kafka,integration,critical
auth,security,Java,JWT,security,critical
database,database,Java,PostgreSQL,performance,high
analytics,backend,Go,Kafka,security,high
analytics,api,TypeScript,NodeJS,performance,low
inventory,backend,TypeScript,SpringBoot,validation,critical
database,database,Java,PostgreSQL,performance,high
database,database,Python,PostgreSQL,performance,high
analytics,backend,Python,PostgreSQL,validation,low
search,database,Python,Kafka,performance,high
profile,database,Go,SpringBoot,memory,low
payment,api,Java,SpringBoot,integration,critical
analytics,backend,Go,Kafka,concurrency,high
profile,api,Python,PostgreSQL,integration,high
database,database,Java,PostgreSQL,performance,high
payment,api,Java,SpringBoot,integration,critical
inventory,api,TypeScript,NodeJS,performance,medium
database,frontend,TypeScript,JWT,validation,critical
database,database,Python,PostgreSQL,performance,high
gateway,frontend,TypeScript,JWT,concurrency,high
database,database,Python,PostgreSQL,performance,high
gateway,backend,Go,React,integration,medium
database,security,TypeScript,Redis,memory,high
notification,security,TypeScript,JWT,validation,critical
profile,database,Java,Docker,memory,medium
gateway,backend,Go,Kafka,concurrency,high
reporting,frontend,Go,Docker,validation,low
notification,api,TypeScript,Kafka,integration,high
payment,api,Java,SpringBoot,integration,critical
search,api,Java,JWT,security,high
inventory,database,Go,Redis,concurrency,high
database,database,Python,PostgreSQL,performance,high
gateway,frontend,Java,NodeJS,performance,medium
profile,security,TypeScript,Redis,security,critical
payment,api,Java,SpringBoot,integration,critical
profile,security,Java,Redis,memory,low
auth,frontend,JavaScript,PostgreSQL,validation,low
profile,backend,JavaScript,JWT,performance,high
auth,security,Java,JWT,security,critical
auth,backend,Java,Kafka,security,low
gateway,security,Go,Docker,memory,medium
inventory,database,TypeScript,SpringBoot,security,medium
profile,database,Java,SpringBoot,logic,low
payment,security,Go,JWT,logic,high
profile,backend,TypeScript,NodeJS,performance,high
reporting,security,Go,Docker,integration,critical
profile,security,Python,Redis,concurrency,low
reporting,frontend,Go,SpringBoot,validation,critical
auth,security,Java,JWT,security,critical
database,database,Java,PostgreSQL,performance,high
inventory,api,JavaScript,PostgreSQL,logic,low
database,security,JavaScript,Kafka,integration,low
profile,frontend,Go,SpringBoot,memory,medium
reporting,frontend,JavaScript,React,validation,low
payment,api,TypeScript,SpringBoot,integration,critical
gateway,backend,Java,Kafka,concurrency,critical
gateway,database,Python,Docker,logic,high
auth,security,Java,JWT,security,critical
auth,security,Java,JWT,security,critical
gateway,backend,Python,SpringBoot,logic,critical
search,security,Python,NodeJS,memory,high
reporting,backend,JavaScript,React,integration,medium
auth,security,Java,JWT,security,critical
auth,database,JavaScript,PostgreSQL,logic,low
database,backend,Java,PostgreSQL,security,medium
search,frontend,JavaScript,React,validation,low
payment,security,TypeScript,JWT,concurrency,high
auth,security,Java,JWT,security,critical
notification,backend,Go,Kafka,concurrency,critical
inventory,backend,TypeScript,Docker,concurrency,critical
payment,security,Java,Kafka,integration,medium
gateway,frontend,JavaScript,SpringBoot,logic,critical
payment,api,TypeScript,SpringBoot,integration,critical
auth,security,Java,JWT,security,critical
search,frontend,Java,JWT,logic,medium
inventory,frontend,Python,SpringBoot,validation,medium
auth,api,Python,SpringBoot,performance,low
analytics,security,JavaScript,SpringBoot,concurrency,critical
analytics,api,Go,PostgreSQL,concurrency,low
auth,backend,JavaScript,Redis,performance,high
analytics,backend,Go,Kafka,concurrency,high
profile,frontend,JavaScript,React,validation,low
inventory,api,Java,JWT,integration,critical
profile,api,Python,JWT,security,critical
database,database,Java,PostgreSQL,performance,high
reporting,frontend,Java,SpringBoot,logic,low
database,frontend,Java,NodeJS,logic,high
profile,security,Python,Docker,security,high
auth,database,JavaScript,JWT,memory,low
reporting,database,Go,NodeJS,performance,high
database,database,Python,PostgreSQL,performance,high
database,backend,Java,Redis,validation,low
gateway,backend,Go,Kafka,concurrency,critical
profile,database,Python,JWT,integration,medium
payment,api,Java,SpringBoot,integration,critical
database,database,Java,PostgreSQL,performance,high
payment,api,TypeScript,SpringBoot,integration,critical
auth,security,Java,JWT,security,critical
payment,database,TypeScript,JWT,logic,high
payment,api,Java,SpringBoot,integration,critical
payment,database,Java,PostgreSQL,performance,critical
auth,security,Java,JWT,security,critical
gateway,frontend,TypeScript,React,security,low
database,database,Java,PostgreSQL,performance,high
profile,backend,Python,PostgreSQL,memory,critical
notification,api,TypeScript,Docker,memory,medium
notification,security,Go,Redis,security,low
search,api,TypeScript,Redis,memory,high
profile,backend,Java,NodeJS,concurrency,low
auth,security,Java,JWT,security,critical
database,database,Python,PostgreSQL,performance,high
database,api,JavaScript,Docker,memory,low
notification,database,Python,JWT,security,low
auth,security,Java,JWT,security,critical
payment,frontend,Python,PostgreSQL,validation,critical
gateway,frontend,Python,Kafka,performance,high
gateway,security,Java,Redis,performance,medium
auth,security,Java,JWT,security,critical
search,database,JavaScript,Docker,integration,high
reporting,backend,TypeScript,Redis,integration,high
profile,api,Go,NodeJS,security,medium
search,frontend,TypeScript,React,validation,low
inventory,security,Go,Redis,logic,low
auth,security,Java,JWT,security,critical
search,security,JavaScript,SpringBoot,concurrency,medium
payment,api,Java,SpringBoot,integration,critical
analytics,database,Go,Redis,concurrency,low
database,database,Python,PostgreSQL,performance,high
payment,backend,Java,NodeJS,memory,critical
payment,api,Go,SpringBoot,memory,high
reporting,security,TypeScript,NodeJS,validation,critical
notification,backend,Go,Kafka,concurrency,critical
analytics,backend,Java,Kafka,concurrency,critical
payment,database,Go,Redis,integration,medium
payment,database,JavaScript,NodeJS,validation,low
database,database,Python,PostgreSQL,performance,high
analytics,frontend,TypeScript,Docker,security,medium
analytics,frontend,Python,JWT,performance,medium
profile,api,JavaScript,JWT,logic,critical
auth,api,Python,Redis,validation,medium
payment,frontend,Java,SpringBoot,memory,high
payment,api,TypeScript,SpringBoot,integration,critical
reporting,security,Python,React,logic,medium
database,database,Python,PostgreSQL,performance,high
reporting,backend,TypeScript,Docker,logic,medium
search,frontend,Go,Redis,validation,medium
search,database,Go,PostgreSQL,security,low
profile,frontend,JavaScript,React,validation,medium
auth,database,Go,SpringBoot,security,high
analytics,frontend,Python,React,performance,high
database,database,Python,PostgreSQL,performance,high
gateway,api,Python,Kafka,integration,medium
payment,backend,TypeScript,React,validation,critical
reporting,frontend,TypeScript,React,validation,low
analytics,frontend,Python,JWT,logic,high
database,database,Java,PostgreSQL,performance,high
auth,security,Python,NodeJS,integration,high
database,backend,TypeScript,JWT,security,medium
gateway,backend,Go,Kafka,concurrency,critical
payment,api,Java,SpringBoot,integration,critical
profile,frontend,TypeScript,React,validation,medium
notification,database,Python,NodeJS,memory,medium
analytics,database,TypeScript,Kafka,performance,medium
payment,backend,Java,NodeJS,concurrency,high
database,database,Python,PostgreSQL,performance,high
inventory,frontend,TypeScript,Redis,concurrency,medium
inventory,database,Go,JWT,concurrency,critical
gateway,backend,Go,Kafka,concurrency,high
profile,database,TypeScript,Redis,integration,medium
payment,security,TypeScript,React,memory,critical
analytics,frontend,TypeScript,Docker,integration,critical
gateway,backend,Java,Kafka,concurrency,high
auth,security,Java,JWT,security,critical
profile,api,TypeScript,PostgreSQL,logic,low
database,backend,TypeScript,Kafka,security,critical
profile,frontend,TypeScript,SpringBoot,logic,high
gateway,frontend,TypeScript,NodeJS,integration,high
analytics,security,Go,PostgreSQL,memory,critical
gateway,backend,Java,Kafka,concurrency,critical
auth,security,Java,JWT,security,critical
gateway,security,Python,SpringBoot,integration,medium
database,database,Java,PostgreSQL,performance,high
database,database,Python,PostgreSQL,performance,high
payment,api,TypeScript,React,concurrency,medium
gateway,backend,Java,Kafka,concurrency,critical
analytics,backend,Python,React,integration,high
database,database,Python,PostgreSQL,performance,high
gateway,backend,Go,Kafka,concurrency,critical
notification,frontend,JavaScript,Redis,integration,critical
database,database,Python,PostgreSQL,performance,high
notification,backend,Java,Kafka,concurrency,critical
profile,frontend,TypeScript,React,validation,low
gateway,security,JavaScript,PostgreSQL,memory,high
reporting,database,JavaScript,SpringBoot,security,low
payment,api,TypeScript,SpringBoot,integration,critical
payment,api,TypeScript,SpringBoot,integration,critical
analytics,frontend,Python,JWT,performance,critical
reporting,frontend,TypeScript,React,validation,low
database,database,Java,PostgreSQL,performance,high
notification,api,Java,JWT,performance,critical
profile,frontend,TypeScript,React,validation,low
auth,backend,Go,PostgreSQL,concurrency,medium
auth,security,Java,JWT,security,critical
auth,database,TypeScript,JWT,concurrency,critical
profile,database,TypeScript,Kafka,concurrency,high
inventory,frontend,Python,SpringBoot,integration,medium
database,api,Go,React,logic,critical
auth,database,Java,Redis,security,critical
profile,backend,Java,Docker,security,high
gateway,frontend,TypeScript,JWT,security,low
gateway,security,Go,JWT,performance,low
database,database,Java,PostgreSQL,performance,high
analytics,backend,Java,Kafka,concurrency,high
search,security,TypeScript,Kafka,logic,critical
database,database,Python,PostgreSQL,performance,high
profile,database,JavaScript,Docker,performance,low
profile,backend,Go,React,memory,low
reporting,frontend,Go,SpringBoot,performance,critical
inventory,security,TypeScript,Redis,concurrency,medium
analytics,backend,TypeScript,PostgreSQL,concurrency,medium
inventory,api,JavaScript,Kafka,validation,critical
reporting,frontend,TypeScript,React,validation,low
inventory,database,Java,Redis,concurrency,medium
inventory,security,Python,SpringBoot,logic,medium
inventory,security,JavaScript,Redis,security,low
search,frontend,Go,Kafka,memory,medium
analytics,frontend,TypeScript,NodeJS,security,low
search,backend,Go,JWT,logic,low
database,frontend,Python,SpringBoot,integration,low
auth,security,Java,JWT,security,critical
auth,security,Java,JWT,security,critical
payment,api,TypeScript,SpringBoot,integration,critical
database,frontend,Go,JWT,concurrency,low
inventory,api,TypeScript,NodeJS,integration,medium
search,backend,JavaScript,SpringBoot,security,medium
payment,api,Java,SpringBoot,integration,critical
auth,security,Java,JWT,security,critical
database,database,Python,PostgreSQL,performance,high
payment,api,Java,Redis,performance,critical
gateway,backend,Go,Kafka,concurrency,high
gateway,api,TypeScript,SpringBoot,concurrency,low
database,database,Python,PostgreSQL,performance,high
database,database,Java,PostgreSQL,performance,high
database,database,TypeScript,Docker,validation,critical
payment,security,Python,SpringBoot,memory,high
inventory,backend,Python,Redis,memory,high
auth,security,Java,JWT,security,critical
database,database,Java,PostgreSQL,performance,high
payment,api,TypeScript,SpringBoot,integration,critical
notification,api,Java,PostgreSQL,validation,critical
profile,database,Go,Docker,integration,medium
profile,backend,Python,PostgreSQL,validation,high
auth,security,Java,JWT,security,critical
analytics,database,TypeScript,NodeJS,performance,low
gateway,security,Python,SpringBoot,security,low
database,security,Python,SpringBoot,performance,medium
search,security,TypeScript,NodeJS,memory,critical
payment,database,TypeScript,Kafka,validation,high
reporting,frontend,JavaScript,React,validation,medium
gateway,security,JavaScript,Docker,concurrency,low
gateway,backend,Go,Kafka,concurrency,high
payment,api,Java,SpringBoot,integration,critical
payment,api,Java,SpringBoot,integration,critical
gateway,security,Java,Redis,concurrency,low
notification,frontend,Java,PostgreSQL,validation,medium
gateway,security,Java,Kafka,security,critical
auth,database,JavaScript,NodeJS,performance,medium
analytics,database,Java,NodeJS,security,critical
auth,security,Java,JWT,security,critical
payment,security,Python,NodeJS,concurrency,critical
database,database,Python,PostgreSQL,performance,high
inventory,api,Java,Redis,integration,critical
inventory,api,TypeScript,Kafka,security,high
search,database,TypeScript,Redis,integration,medium
gateway,backend,Java,Kafka,concurrency,critical
payment,api,Java,SpringBoot,integration,critical
database,database,Python,PostgreSQL,performance,high
gateway,api,Python,NodeJS,security,medium
analytics,backend,Go,Kafka,concurrency,critical
inventory,backend,JavaScript,NodeJS,security,high
gateway,backend,Python,Kafka,security,high
database,frontend,TypeScript,React,logic,high
database,database,Java,PostgreSQL,performance,high
payment,security,JavaScript,Redis,logic,low
auth,security,Java,JWT,security,critical
database,database,Python,PostgreSQL,performance,high
gateway,backend,Java,Kafka,concurrency,high
search,database,TypeScript,Docker,performance,high
search,security,TypeScript,React,security,medium
database,database,Python,PostgreSQL,performance,high
profile,frontend,TypeScript,React,validation,low
gateway,frontend,Python,JWT,integration,high
database,database,Java,PostgreSQL,performance,high
notification,api,TypeScript,PostgreSQL,integration,low
payment,api,Java,SpringBoot,integration,critical
profile,frontend,TypeScript,SpringBoot,performance,medium
notification,api,Go,JWT,logic,medium
search,database,TypeScript,JWT,memory,high
database,database,Python,PostgreSQL,performance,high
notification,security,Java,SpringBoot,security,low
profile,database,TypeScript,Docker,integration,high
reporting,frontend,JavaScript,React,validation,low
database,database,Python,PostgreSQL,performance,high
gateway,security,JavaScript,PostgreSQL,concurrency,low
inventory,security,Python,SpringBoot,memory,medium
search,api,TypeScript,JWT,validation,low
reporting,frontend,TypeScript,React,validation,medium
auth,security,Java,JWT,security,critical
database,frontend,Python,Kafka,memory,high
gateway,database,JavaScript,React,logic,critical
notification,backend,Python,NodeJS,integration,high
analytics,security,TypeScript,Redis,security,medium
database,database,Java,PostgreSQL,performance,high
inventory,backend,Java,NodeJS,concurrency,medium
notification,security,Go,Docker,integration,low
analytics,security,TypeScript,JWT,logic,medium
search,frontend,JavaScript,React,validation,medium
auth,backend,Java,JWT,logic,low
payment,api,TypeScript,SpringBoot,integration,critical
payment,api,Java,SpringBoot,integration,critical
reporting,frontend,JavaScript,Docker,security,critical
database,database,Python,PostgreSQL,performance,high
payment,api,TypeScript,SpringBoot,integration,critical
search,frontend,Python,Redis,integration,critical
analytics,backend,JavaScript,React,concurrency,critical
database,database,Python,PostgreSQL,performance,high
analytics,backend,Go,Kafka,concurrency,critical
analytics,api,Go,JWT,logic,high
auth,security,Java,JWT,security,critical
profile,database,Python,Docker,memory,critical
payment,frontend,Go,Kafka,security,critical
search,backend,JavaScript,JWT,logic,critical
notification,backend,Go,Kafka,concurrency,critical
search,frontend,TypeScript,JWT,integration,medium
analytics,security,TypeScript,Kafka,concurrency,high
payment,frontend,TypeScript,PostgreSQL,memory,high
notification,backend,Go,Kafka,concurrency,critical
reporting,frontend,Go,SpringBoot,validation,low
auth,security,Java,JWT,security,critical
database,frontend,TypeScript,Docker,security,high
profile,frontend,JavaScript,React,validation,low
gateway,database,Java,SpringBoot,validation,high
profile,backend,Python,Docker,integration,high
search,security,Python,NodeJS,memory,medium
notification,backend,Java,Kafka,concurrency,high
payment,api,Java,SpringBoot,integration,critical
gateway,backend,Python,Redis,performance,critical
payment,security,TypeScript,NodeJS,concurrency,medium
gateway,backend,Java,PostgreSQL,logic,low
