module,subsystem,language,tech_stack,bug_type,severity
database,router,Go,PostgreSQL,performance,high
payment,web,TypeScript,Kafka,integration,low
auth,database,TypeScript,SpringBoot,concurrency,high
profile,database,Java,JWT,performance,low
analytics,security,Python,Kafka,concurrency,medium
auth,database,Python,JWT,security,critical
gateway,router,TypeScript,React,integration,critical
reporting,database,JavaScript,JWT,performance,medium
reporting,auth_sub,TypeScript,JWT,security,high
payment,security,Java,SpringBoot,integration,high
analytics,security,Go,Docker,integration,medium
gateway,security,Java,Docker,network,critical
gateway,queue,Python,React,security,high
gateway,auth_sub,Python,JWT,network,medium
database,queue,TypeScript,PostgreSQL,concurrency,medium
inventory,worker,TypeScript,React,concurrency,critical
gateway,web,Go,React,integration,low
database,auth_sub,TypeScript,PostgreSQL,performance,high
payment,queue,Go,SpringBoot,integration,high
auth,ui,Go,JWT,security,critical
search,auth_sub,TypeScript,JWT,integration,low
auth,ui,TypeScript,React,performance,high
database,queue,JavaScript,React,network,high
database,router,TypeScript,PostgreSQL,integration,high
payment,queue,Python,Docker,integration,critical
payment,auth_sub,Python,SpringBoot,integration,high
database,queue,Java,PostgreSQL,performance,high
gateway,backend,JavaScript,Docker,network,critical
reporting,web,Java,PostgreSQL,validation,medium
database,ui,Java,JWT,security,medium
database,auth_sub,JavaScript,Kafka,performance,critical
auth,worker,Go,JWT,security,critical
reporting,queue,Go,SpringBoot,concurrency,low
payment,ui,Python,SpringBoot,concurrency,high
database,backend,TypeScript,PostgreSQL,performance,high
analytics,queue,Java,Kafka,concurrency,medium
notification,ui,JavaScript,React,integration,medium
analytics,queue,Go,Docker,concurrency,low
auth,ui,JavaScript,JWT,security,critical
database,security,TypeScript,JWT,integration,high
database,backend,JavaScript,JWT,integration,low
search,backend,JavaScript,React,performance,low
auth,security,Python,JWT,security,critical
payment,queue,Java,SpringBoot,integration,high
database,api,Go,SpringBoot,performance,critical
auth,api,Java,JWT,security,critical
analytics,web,Java,Kafka,concurrency,medium
gateway,database,Go,Docker,network,critical
database,security,JavaScript,PostgreSQL,performance,high
payment,auth_sub,Java,React,integration,critical
reporting,ui,Python,Kafka,security,high
auth,router,JavaScript,SpringBoot,validation,medium
notification,backend,Python,PostgreSQL,security,medium
profile,web,Go,Kafka,security,high
database,backend,Go,PostgreSQL,performance,high
gateway,ui,TypeScript,Docker,network,critical
profile,web,Python,SpringBoot,performance,high
database,security,Go,React,validation,critical
payment,worker,Python,PostgreSQL,security,high
profile,api,Python,SpringBoot,performance,critical
auth,ui,TypeScript,Kafka,integration,medium
gateway,security,JavaScript,Docker,network,critical
notification,ui,JavaScript,SpringBoot,validation,critical
notification,queue,JavaScript,Kafka,validation,high
analytics,auth_sub,Java,Docker,validation,high
search,api,JavaScript,Kafka,performance,critical
payment,worker,TypeScript,PostgreSQL,network,critical
gateway,database,JavaScript,Docker,network,critical
reporting,security,TypeScript,JWT,security,medium
analytics,security,JavaScript,Kafka,concurrency,medium
auth,worker,JavaScript,JWT,security,critical
profile,auth_sub,TypeScript,PostgreSQL,integration,low
payment,ui,Python,SpringBoot,integration,high
payment,backend,Java,SpringBoot,integration,high
notification,web,Python,SpringBoot,concurrency,critical
payment,auth_sub,Java,JWT,network,critical
payment,router,Java,SpringBoot,integration,high
reporting,api,TypeScript,React,network,critical
payment,ui,Java,SpringBoot,integration,high
payment,api,Java,SpringBoot,integration,high
gateway,backend,Python,Docker,network,critical
gateway,router,Go,Docker,integration,medium
analytics,api,Python,JWT,validation,medium
payment,ui,TypeScript,SpringBoot,integration,high
gateway,api,Python,Docker,network,critical
reporting,ui,Python,JWT,security,medium
search,database,TypeScript,PostgreSQL,concurrency,low
analytics,auth_sub,Python,JWT,performance,low
inventory,router,Java,React,security,low
analytics,backend,TypeScript,Kafka,concurrency,medium
gateway,security,Python,Docker,network,critical
gateway,queue,Python,Docker,network,critical
search,security,Java,JWT,security,low
analytics,security,Python,JWT,integration,medium
inventory,backend,JavaScript,PostgreSQL,validation,medium
auth,backend,JavaScript,React,network,medium
gateway,queue,TypeScript,Docker,network,critical
gateway,api,JavaScript,PostgreSQL,integration,critical
gateway,database,TypeScript,SpringBoot,validation,high
database,web,JavaScript,React,validation,low
reporting,api,JavaScript,SpringBoot,network,high
inventory,web,Python,React,network,medium
auth,database,TypeScript,JWT,security,critical
gateway,security,TypeScript,SpringBoot,validation,critical
reporting,database,Go,React,network,medium
analytics,router,JavaScript,JWT,security,high
gateway,backend,Java,JWT,security,high
gateway,api,Go,Kafka,network,critical
auth,queue,Go,React,security,high
auth,router,Java,Kafka,validation,high
auth,api,JavaScript,JWT,security,critical
profile,security,TypeScript,Docker,integration,high
payment,security,TypeScript,SpringBoot,integration,high
reporting,security,Python,React,network,critical
database,web,JavaScript,SpringBoot,integration,medium
payment,api,JavaScript,SpringBoot,integration,high
reporting,router,Python,React,security,medium
inventory,backend,JavaScript,JWT,integration,critical
search,database,Go,PostgreSQL,performance,medium
database,security,Python,PostgreSQL,performance,high
auth,auth_sub,TypeScript,SpringBoot,security,critical
analytics,queue,Python,Kafka,concurrency,medium
auth,router,Java,Docker,validation,high
gateway,security,Go,Docker,network,critical
auth,web,JavaScript,PostgreSQL,network,high
auth,database,Java,JWT,security,critical
analytics,web,Java,PostgreSQL,validation,medium
gateway,web,TypeScript,Docker,network,critical
auth,api,Python,Kafka,network,high
auth,router,Go,Kafka,network,medium
reporting,router,Python,Kafka,performance,high
inventory,backend,TypeScript,PostgreSQL,integration,low
inventory,worker,JavaScript,JWT,validation,high
gateway,backend,Java,Docker,network,critical
analytics,web,Python,React,network,low
database,ui,Python,PostgreSQL,performance,high
database,auth_sub,Java,Kafka,validation,high
search,web,Java,PostgreSQL,validation,critical
analytics,database,Python,Kafka,concurrency,medium
analytics,ui,JavaScript,Kafka,concurrency,medium
gateway,database,Java,Docker,network,critical
database,router,Java,PostgreSQL,performance,high
auth,web,JavaScript,JWT,security,critical
reporting,api,Go,React,concurrency,critical
gateway,router,Go,Kafka,performance,low
database,web,JavaScript,PostgreSQL,performance,high
payment,backend,JavaScript,SpringBoot,integration,high
reporting,backend,JavaScript,Kafka,performance,critical
database,web,TypeScript,Docker,network,high
analytics,api,JavaScript,Kafka,concurrency,medium
search,router,JavaScript,Docker,performance,high
auth,queue,Python,JWT,security,critical
auth,worker,TypeScript,JWT,security,critical
payment,queue,Java,SpringBoot,security,medium
inventory,api,TypeScript,Docker,concurrency,high
auth,database,TypeScript,PostgreSQL,performance,critical
gateway,database,TypeScript,Docker,network,critical
gateway,auth_sub,Java,Docker,network,critical
profile,ui,Java,Kafka,concurrency,low
auth,security,Java,JWT,security,critical
payment,database,TypeScript,SpringBoot,integration,high
profile,queue,Java,React,security,high
auth,backend,Java,Docker,network,medium
notification,security,TypeScript,React,validation,medium
search,auth_sub,TypeScript,React,network,low
payment,web,JavaScript,SpringBoot,integration,high
analytics,worker,TypeScript,React,security,high
reporting,router,Java,Docker,integration,low
auth,worker,Java,JWT,security,critical
gateway,ui,Java,Docker,network,critical
payment,router,Java,Kafka,performance,medium
auth,backend,Go,JWT,security,critical
auth,web,Python,JWT,security,critical
analytics,ui,TypeScript,Kafka,concurrency,medium
profile,ui,Java,Docker,integration,low
payment,api,Go,SpringBoot,integration,high
profile,auth_sub,JavaScript,Docker,concurrency,medium
notification,backend,JavaScript,PostgreSQL,validation,critical
search,worker,JavaScript,JWT,performance,medium
payment,web,Python,SpringBoot,integration,high
search,ui,Go,Docker,concurrency,medium
inventory,security,TypeScript,SpringBoot,concurrency,high
inventory,worker,Go,Kafka,integration,medium
auth,backend,Python,Kafka,concurrency,high
search,router,Go,PostgreSQL,network,high
analytics,worker,JavaScript,React,validation,high
payment,backend,TypeScript,SpringBoot,integration,high
gateway,web,Go,Docker,validation,high
database,auth_sub,TypeScript,Docker,network,critical
inventory,worker,TypeScript,React,concurrency,low
gateway,backend,Python,Docker,validation,low
reporting,database,Java,PostgreSQL,network,medium
inventory,auth_sub,JavaScript,Kafka,performance,medium
reporting,queue,TypeScript,PostgreSQL,concurrency,medium
analytics,ui,Python,JWT,performance,high
analytics,queue,TypeScript,React,validation,low
payment,api,Python,JWT,integration,critical
gateway,web,Python,Kafka,validation,critical
analytics,worker,Python,Kafka,concurrency,medium
notification,database,Java,React,integration,medium
gateway,router,Python,Docker,network,critical
payment,worker,TypeScript,SpringBoot,integration,high
payment,backend,Go,SpringBoot,integration,high
database,ui,JavaScript,PostgreSQL,performance,high
payment,worker,Java,PostgreSQL,concurrency,low
gateway,worker,TypeScript,Docker,validation,medium
payment,security,Go,SpringBoot,integration,high
gateway,queue,Go,Docker,network,critical
gateway,api,JavaScript,Docker,network,critical
gateway,queue,Java,Docker,network,critical
analytics,backend,JavaScript,SpringBoot,validation,high
inventory,web,JavaScript,PostgreSQL,integration,high
notification,worker,JavaScript,JWT,concurrency,medium
database,backend,Java,Docker,security,low
database,api,Java,Docker,performance,medium
profile,database,TypeScript,PostgreSQL,performance,critical
database,web,Python,PostgreSQL,performance,high
analytics,database,TypeScript,SpringBoot,concurrency,high
gateway,web,Go,Docker,network,critical
database,api,JavaScript,PostgreSQL,performance,high
profile,router,TypeScript,SpringBoot,performance,medium
notification,router,Go,Kafka,validation,high
database,backend,TypeScript,React,security,medium
notification,queue,JavaScript,JWT,performance,low
analytics,ui,Go,Kafka,concurrency,medium
payment,database,Python,SpringBoot,integration,high
payment,ui,JavaScript,SpringBoot,integration,high
search,auth_sub,TypeScript,JWT,network,medium
database,security,JavaScript,Docker,security,critical
database,backend,Java,SpringBoot,validation,high
inventory,security,Java,PostgreSQL,integration,high
analytics,web,TypeScript,Kafka,concurrency,medium
reporting,api,Go,PostgreSQL,validation,medium
gateway,router,Go,Docker,network,critical
payment,auth_sub,Python,Kafka,validation,high
auth,api,Go,JWT,security,critical
inventory,backend,Python,React,security,high
payment,queue,Java,React,performance,low
payment,security,JavaScript,PostgreSQL,performance,high
profile,worker,Python,SpringBoot,security,medium
inventory,security,TypeScript,Kafka,concurrency,low
analytics,ui,Python,Kafka,validation,medium
profile,web,Python,SpringBoot,security,low
database,ui,TypeScript,PostgreSQL,performance,high
payment,security,TypeScript,JWT,security,low
payment,backend,Go,React,concurrency,low
gateway,database,Java,SpringBoot,security,high
search,ui,Python,JWT,performance,high
gateway,web,Java,Kafka,integration,high
profile,router,Python,SpringBoot,security,critical
auth,security,TypeScript,JWT,security,critical
auth,security,Java,Kafka,security,low
payment,worker,JavaScript,SpringBoot,integration,high
payment,backend,JavaScript,SpringBoot,security,medium
gateway,worker,Java,Docker,network,critical
analytics,database,Java,Kafka,concurrency,medium
auth,ui,Go,Docker,performance,low
database,api,TypeScript,SpringBoot,performance,high
gateway,web,TypeScript,Kafka,performance,low
reporting,router,Java,PostgreSQL,validation,high
auth,auth_sub,Java,JWT,security,critical
reporting,worker,Java,React,integration,low
inventory,ui,TypeScript,Docker,security,critical
search,backend,TypeScript,JWT,integration,critical
payment,queue,TypeScript,SpringBoot,integration,high
reporting,queue,JavaScript,PostgreSQL,performance,critical
notification,auth_sub,Go,SpringBoot,security,medium
notification,web,JavaScript,PostgreSQL,security,critical
search,security,Go,SpringBoot,network,low
payment,router,TypeScript,SpringBoot,integration,high
notification,worker,TypeScript,JWT,performance,medium
gateway,worker,TypeScript,Docker,network,critical
auth,worker,Python,JWT,security,critical
auth,security,Go,JWT,security,critical
payment,backend,TypeScript,JWT,security,high
auth,worker,Python,React,integration,medium
auth,web,TypeScript,JWT,security,critical
database,worker,Python,SpringBoot,integration,low
gateway,queue,JavaScript,Docker,network,critical
database,auth_sub,Java,React,security,low
auth,auth_sub,Go,JWT,security,critical
profile,ui,Java,SpringBoot,network,low
database,database,Go,PostgreSQL,performance,high
payment,database,Java,SpringBoot,integration,high
profile,database,Java,JWT,network,medium
profile,auth_sub,JavaScript,React,integration,low
notification,database,Java,PostgreSQL,performance,critical
search,ui,Java,Docker,network,medium
payment,security,JavaScript,SpringBoot,integration,high
auth,router,Python,JWT,security,critical
gateway,database,Python,Docker,concurrency,medium
payment,ui,Go,SpringBoot,integration,high
search,ui,Java,Docker,security,high
notification,api,Python,JWT,performance,high
payment,ui,Java,Docker,security,critical
notification,security,Python,PostgreSQL,validation,critical
profile,queue,TypeScript,SpringBoot,concurrency,high
auth,web,Java,JWT,security,critical
payment,backend,Go,PostgreSQL,concurrency,medium
notification,queue,JavaScript,JWT,security,medium
gateway,worker,JavaScript,SpringBoot,performance,high
database,api,Java,PostgreSQL,performance,medium
database,database,Python,PostgreSQL,performance,high
reporting,worker,Go,Docker,security,high
gateway,backend,JavaScript,JWT,validation,critical
profile,queue,TypeScript,Docker,integration,low
notification,api,Java,Kafka,concurrency,high
notification,ui,TypeScript,Kafka,security,low
database,backend,JavaScript,PostgreSQL,performance,high
payment,web,Python,PostgreSQL,performance,critical
auth,router,TypeScript,JWT,security,critical
analytics,api,Python,Kafka,concurrency,medium
gateway,api,Java,Docker,network,critical
notification,auth_sub,Go,SpringBoot,network,medium
inventory,security,TypeScript,JWT,performance,high
gateway,auth_sub,JavaScript,React,integration,low
database,api,Python,PostgreSQL,validation,high
auth,router,JavaScript,JWT,security,critical
payment,router,JavaScript,SpringBoot,integration,high
database,security,Go,PostgreSQL,performance,high
analytics,database,Go,React,performance,low
payment,worker,Go,SpringBoot,integration,high
inventory,database,Python,Kafka,validation,critical
reporting,queue,Python,Docker,performance,medium
gateway,worker,Go,Kafka,security,critical
analytics,worker,Java,Kafka,concurrency,medium
auth,backend,Python,PostgreSQL,network,high
profile,security,TypeScript,PostgreSQL,integration,critical
gateway,worker,Go,Docker,network,critical
analytics,router,Python,Kafka,concurrency,medium
database,backend,Java,PostgreSQL,validation,medium
notification,backend,Python,React,integration,medium
analytics,backend,JavaScript,Kafka,concurrency,medium
analytics,database,TypeScript,Kafka,concurrency,medium
payment,web,TypeScript,SpringBoot,integration,high
payment,worker,Python,SpringBoot,integration,high
auth,security,Java,PostgreSQL,performance,high
notification,queue,Java,Docker,security,high
gateway,worker,JavaScript,Docker,integration,high
inventory,queue,JavaScript,Kafka,security,high
payment,api,TypeScript,SpringBoot,integration,high
profile,api,Java,PostgreSQL,integration,high
analytics,api,Go,Kafka,concurrency,medium
payment,queue,Java,SpringBoot,security,low
notification,ui,Java,JWT,integration,critical
database,database,TypeScript,Docker,performance,medium
auth,api,JavaScript,PostgreSQL,performance,low
search,queue,JavaScript,Docker,integration,critical
gateway,worker,Python,Docker,network,critical
database,ui,Go,PostgreSQL,performance,high
gateway,database,Python,React,integration,high
notification,web,Python,PostgreSQL,performance,high
reporting,router,TypeScript,SpringBoot,security,low
payment,queue,Python,SpringBoot,integration,high
profile,api,Java,JWT,integration,critical
notification,router,Go,SpringBoot,concurrency,high
analytics,database,Go,Kafka,concurrency,medium
inventory,ui,JavaScript,JWT,performance,medium
auth,backend,TypeScript,JWT,security,critical
auth,api,JavaScript,PostgreSQL,integration,high
payment,router,Python,SpringBoot,integration,high
search,queue,Java,Docker,network,low
notification,queue,Python,PostgreSQL,network,critical
auth,queue,JavaScript,JWT,security,critical
payment,worker,TypeScript,SpringBoot,security,high
auth,auth_sub,TypeScript,JWT,security,critical
auth,database,Go,PostgreSQL,network,high
analytics,auth_sub,Python,Kafka,concurrency,medium
profile,security,Python,Kafka,network,medium
database,queue,Go,PostgreSQL,performance,high
profile,ui,Go,React,security,critical
reporting,auth_sub,TypeScript,Docker,network,high
payment,worker,Java,SpringBoot,integration,high
gateway,web,Java,Docker,network,critical
database,router,JavaScript,PostgreSQL,performance,high
database,security,Python,Kafka,integration,low
reporting,backend,TypeScript,SpringBoot,concurrency,critical
auth,queue,Java,React,concurrency,medium
analytics,security,TypeScript,Kafka,concurrency,medium
gateway,ui,TypeScript,JWT,validation,high
gateway,auth_sub,Java,SpringBoot,concurrency,medium
auth,ui,Python,SpringBoot,network,low
auth,web,Go,JWT,security,critical
analytics,ui,Java,Docker,security,medium
auth,database,Go,JWT,security,critical
gateway,auth_sub,TypeScript,Docker,network,critical
gateway,router,JavaScript,SpringBoot,security,high
analytics,backend,Python,Kafka,concurrency,medium
profile,security,Python,JWT,validation,high
reporting,router,Java,JWT,security,high
payment,auth_sub,JavaScript,React,performance,high
gateway,auth_sub,JavaScript,Docker,network,critical
auth,worker,JavaScript,SpringBoot,validation,low
auth,web,Go,Kafka,performance,low
payment,auth_sub,Java,PostgreSQL,security,medium
analytics,database,JavaScript,Kafka,concurrency,medium
auth,security,JavaScript,JWT,security,critical
database,security,Java,Docker,performance,critical
gateway,router,TypeScript,Docker,network,critical
payment,queue,Java,React,integration,low
database,backend,Go,SpringBoot,validation,medium
auth,backend,JavaScript,JWT,security,critical
auth,api,TypeScript,Docker,validation,low
auth,ui,TypeScript,Kafka,security,low
analytics,worker,Python,JWT,concurrency,high
reporting,api,JavaScript,Kafka,validation,critical
payment,web,Go,JWT,validation,low
search,queue,JavaScript,React,integration,critical
auth,queue,Go,JWT,security,critical
gateway,backend,TypeScript,Docker,network,critical
reporting,auth_sub,Python,PostgreSQL,validation,critical
profile,queue,TypeScript,PostgreSQL,concurrency,low
profile,ui,JavaScript,Kafka,concurrency,critical
profile,backend,Java,Kafka,network,critical
auth,router,Go,JWT,security,critical
database,router,Python,PostgreSQL,performance,critical
gateway,auth_sub,TypeScript,PostgreSQL,concurrency,low
auth,router,Java,JWT,security,critical
database,ui,Java,PostgreSQL,performance,high
notification,worker,Python,Kafka,network,low
auth,web,Go,Docker,integration,high
gateway,web,Python,SpringBoot,performance,low
search,auth_sub,Java,Docker,performance,high
payment,security,TypeScript,PostgreSQL,performance,high
analytics,api,TypeScript,Kafka,concurrency,medium
gateway,web,Python,Docker,network,critical
auth,security,TypeScript,React,network,medium
inventory,security,TypeScript,Docker,validation,high
auth,api,TypeScript,JWT,security,critical
auth,queue,Java,JWT,security,critical
payment,database,TypeScript,Kafka,integration,critical
database,api,TypeScript,React,security,medium
inventory,api,Python,Docker,integration,medium
gateway,router,JavaScript,SpringBoot,integration,low
inventory,ui,Python,Kafka,network,critical
auth,auth_sub,JavaScript,JWT,security,critical
payment,auth_sub,JavaScript,SpringBoot,integration,high
database,database,JavaScript,PostgreSQL,performance,high
search,worker,Java,Kafka,concurrency,high
profile,api,JavaScript,React,validation,critical
auth,ui,Python,JWT,security,critical
analytics,web,Go,Kafka,concurrency,medium
database,queue,Go,Docker,concurrency,high
notification,auth_sub,Java,React,integration,medium
analytics,api,Java,Kafka,concurrency,medium
analytics,worker,TypeScript,Kafka,concurrency,medium
profile,queue,Python,React,network,critical
database,worker,Python,PostgreSQL,performance,high
profile,database,Go,Docker,concurrency,high
database,api,TypeScript,PostgreSQL,performance,high
inventory,security,TypeScript,Docker,network,critical
analytics,worker,JavaScript,Kafka,concurrency,medium
database,security,Python,PostgreSQL,concurrency,high
reporting,auth_sub,Go,JWT,integration,high
database,worker,Java,PostgreSQL,performance,high
analytics,api,Java,SpringBoot,network,medium
payment,web,Java,SpringBoot,integration,high
database,router,Python,PostgreSQL,performance,high
notification,database,JavaScript,PostgreSQL,security,low
inventory,api,Python,React,network,critical
payment,security,Python,SpringBoot,integration,high
analytics,queue,TypeScript,Kafka,concurrency,medium
inventory,web,Python,Docker,security,low
analytics,security,Java,Kafka,concurrency,medium
notification,web,JavaScript,PostgreSQL,security,low
gateway,api,Python,PostgreSQL,validation,low
auth,backend,Python,JWT,security,critical
database,api,Go,PostgreSQL,performance,high
notification,worker,Go,Docker,integration,medium
inventory,backend,JavaScript,Kafka,concurrency,high
inventory,ui,JavaScript,Kafka,integration,high
payment,auth_sub,TypeScript,SpringBoot,integration,high
analytics,web,JavaScript,Kafka,concurrency,medium
gateway,auth_sub,Python,Docker,network,critical
analytics,worker,TypeScript,React,integration,critical
analytics,ui,JavaScript,React,validation,high
auth,backend,Java,JWT,security,critical
gateway,auth_sub,JavaScript,React,validation,critical
inventory,auth_sub,Go,JWT,performance,medium
gateway,api,Go,Docker,network,critical
gateway,router,Java,Docker,network,critical
analytics,security,Go,Kafka,concurrency,medium
notification,ui,Go,SpringBoot,concurrency,critical
payment,api,Python,Kafka,network,medium
gateway,auth_sub,Java,JWT,validation,low
database,security,Java,PostgreSQL,performance,high
gateway,web,Go,Kafka,network,critical
inventory,web,Python,JWT,integration,low
analytics,web,Python,PostgreSQL,security,medium
gateway,ui,JavaScript,Docker,network,critical
analytics,auth_sub,TypeScript,Kafka,concurrency,medium
search,api,Python,React,validation,critical
search,ui,Python,React,integration,high
analytics,router,JavaScript,Kafka,concurrency,medium
database,auth_sub,Python,PostgreSQL,performance,high
database,worker,Go,React,integration,critical
analytics,auth_sub,Java,Kafka,concurrency,medium
profile,backend,JavaScript,Kafka,security,low
analytics,auth_sub,Java,JWT,security,low
database,web,Java,PostgreSQL,performance,high
gateway,web,TypeScript,Docker,performance,critical
gateway,worker,JavaScript,Docker,network,critical
inventory,backend,TypeScript,PostgreSQL,security,low
analytics,router,TypeScript,Kafka,concurrency,medium
auth,backend,JavaScript,PostgreSQL,performance,critical
inventory,ui,JavaScript,Docker,validation,medium
gateway,database,Python,Docker,network,critical
database,security,TypeScript,PostgreSQL,performance,high
database,router,Java,JWT,network,critical
auth,web,JavaScript,JWT,performance,critical
gateway,ui,Python,Docker,validation,medium
gateway,backend,Go,Docker,network,critical
database,backend,Python,PostgreSQL,performance,high
reporting,auth_sub,TypeScript,PostgreSQL,validation,medium
payment,queue,JavaScript,SpringBoot,integration,high
search,queue,JavaScript,React,network,medium
notification,auth_sub,JavaScript,React,network,critical
database,auth_sub,JavaScript,PostgreSQL,performance,high
search,worker,TypeScript,JWT,network,critical
search,worker,Java,JWT,concurrency,high
payment,auth_sub,Go,SpringBoot,integration,high
payment,router,TypeScript,Kafka,integration,medium
gateway,api,Go,JWT,performance,critical
search,auth_sub,JavaScript,Docker,security,low
search,worker,Go,PostgreSQL,network,medium
database,database,Java,PostgreSQL,performance,high
notification,worker,Go,SpringBoot,integration,high
analytics,ui,Java,Kafka,concurrency,medium
analytics,queue,JavaScript,Kafka,concurrency,medium
analytics,router,JavaScript,Kafka,concurrency,high
auth,queue,TypeScript,JWT,security,critical
auth,auth_sub,TypeScript,SpringBoot,performance,critical
database,api,Java,Docker,security,critical
payment,database,Go,SpringBoot,integration,high
gateway,queue,Java,React,integration,medium
analytics,worker,Go,Kafka,concurrency,medium
reporting,backend,Go,SpringBoot,validation,medium
profile,router,JavaScript,React,security,high
database,api,Python,PostgreSQL,performance,high
database,web,TypeScript,SpringBoot,performance,high
analytics,api,Go,Kafka,network,high
gateway,ui,Go,Docker,network,critical
analytics,router,Go,Kafka,concurrency,medium
profile,queue,Java,Docker,integration,medium
payment,backend,Java,React,validation,high
payment,auth_sub,Python,JWT,validation,medium
notification,web,JavaScript,JWT,validation,critical
analytics,router,Java,PostgreSQL,network,low
analytics,queue,Go,Kafka,concurrency,medium
auth,ui,Java,JWT,security,critical
database,api,Java,PostgreSQL,performance,high
database,worker,TypeScript,PostgreSQL,performance,high
payment,security,Go,JWT,security,critical
database,auth_sub,Go,PostgreSQL,performance,high
gateway,router,JavaScript,JWT,validation,low
search,queue,Python,PostgreSQL,network,critical
payment,auth_sub,Java,React,security,low
search,backend,Go,Kafka,performance,medium
search,auth_sub,Python,SpringBoot,integration,low
database,worker,JavaScript,PostgreSQL,performance,high
analytics,ui,Python,Kafka,concurrency,medium
analytics,security,TypeScript,PostgreSQL,network,medium
profile,queue,JavaScript,PostgreSQL,validation,critical
database,queue,Python,Kafka,security,critical
auth,api,TypeScript,Kafka,concurrency,critical
gateway,web,JavaScript,Docker,network,critical
auth,ui,TypeScript,JWT,security,critical
inventory,web,Go,JWT,concurrency,critical
analytics,router,Java,Kafka,concurrency,medium
profile,ui,Python,SpringBoot,validation,critical
notification,queue,Go,Docker,network,critical
auth,security,TypeScript,Kafka,security,low
payment,auth_sub,Java,SpringBoot,integration,high
analytics,auth_sub,Go,Kafka,concurrency,medium
analytics,api,JavaScript,JWT,security,medium
reporting,database,Python,Docker,performance,low
payment,ui,Java,React,security,critical
notification,auth_sub,TypeScript,PostgreSQL,network,medium
gateway,auth_sub,Go,Docker,network,critical
auth,queue,Java,SpringBoot,performance,critical
reporting,api,Python,React,concurrency,high
auth,web,Python,SpringBoot,concurrency,low
profile,database,JavaScript,JWT,validation,critical
analytics,web,Python,Kafka,concurrency,medium
auth,security,TypeScript,React,security,critical
database,backend,Java,PostgreSQL,performance,high
database,database,Go,React,concurrency,high
analytics,auth_sub,Go,Kafka,integration,critical
payment,ui,Java,SpringBoot,security,low
profile,auth_sub,JavaScript,SpringBoot,integration,medium
inventory,queue,Go,React,network,critical
database,web,TypeScript,PostgreSQL,performance,high
database,web,JavaScript,SpringBoot,validation,low
payment,database,Java,PostgreSQL,concurrency,low
payment,worker,Python,React,network,medium
analytics,backend,Go,Kafka,concurrency,medium
reporting,web,Go,PostgreSQL,integration,medium
database,queue,Python,PostgreSQL,performance,high
profile,ui,JavaScript,JWT,security,medium
auth,web,TypeScript,SpringBoot,integration,low
payment,security,JavaScript,React,validation,low
auth,database,JavaScript,JWT,security,critical
payment,database,Go,PostgreSQL,network,medium
auth,database,Go,JWT,security,critical
profile,queue,Java,React,security,high
payment,worker,TypeScript,PostgreSQL,network,critical
payment,database,Go,SpringBoot,integration,high
payment,web,JavaScript,SpringBoot,integration,high
inventory,web,JavaScript,PostgreSQL,integration,high
database,router,TypeScript,Kafka,integration,medium
notification,router,Go,SpringBoot,concurrency,high
analytics,auth_sub,Java,Kafka,concurrency,medium
payment,web,Go,JWT,validation,low
reporting,security,TypeScript,JWT,security,medium
auth,router,Python,JWT,security,critical
auth,web,Go,JWT,security,critical
